Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-04 00:00:00-05:00,118.58396379730593,120.38585416346811,115.53536025738819,117.00608825683594,178155000,0.0,0.0
2021-03-05 00:00:00-05:00,117.8339897181949,118.76902459264008,114.51266119025206,118.26254272460938,153766600,0.0,0.0
2021-03-08 00:00:00-05:00,117.78528895665244,117.85346835184752,113.1880285063647,113.3341293334961,154376600,0.0,0.0
2021-03-09 00:00:00-05:00,115.93469539878758,118.88590088596752,115.70093853482196,117.94112396240234,129525800,0.0,0.0
2021-03-10 00:00:00-05:00,118.52553226949556,118.99304601715157,116.34377667711071,116.86000061035156,111943300,0.0,0.0
2021-03-11 00:00:00-05:00,119.35342480023796,120.00600008566362,118.1067115889779,118.78850555419922,103026500,0.0,0.0
2021-03-12 00:00:00-05:00,117.2690682655597,118.01904158578925,116.06131583787986,117.88268280029297,88105100,0.0,0.0
2021-03-15 00:00:00-04:00,118.25281346511821,120.77545858975141,117.28855243734995,120.76571655273438,92403800,0.0,0.0
2021-03-16 00:00:00-04:00,122.43123557963636,123.91171295180644,121.47672411823375,122.30461883544922,115227900,0.0,0.0
2021-03-17 00:00:00-04:00,120.82415009129004,122.58707964634337,119.15861117334904,121.51568603515625,111932600,0.0,0.0
2021-03-18 00:00:00-04:00,119.68454802673601,119.97674960924601,117.19112226503158,117.39566040039062,121229700,0.0,0.0
2021-03-19 00:00:00-04:00,116.7820720526636,118.27228410779664,116.56779183514182,116.8697280883789,185549500,0.0,0.0
2021-03-22 00:00:00-04:00,117.20089594056832,120.64884136246526,117.13271654370864,120.18132019042969,111912300,0.0,0.0
2021-03-23 00:00:00-04:00,120.12285846743659,121.00919044684802,118.96380152490315,119.35340118408203,95467100,0.0,0.0
2021-03-24 00:00:00-04:00,119.62615173183985,119.70407317138026,116.94766355336753,116.9671401977539,88530500,0.0,0.0
2021-03-25 00:00:00-04:00,116.43144866728201,118.49632225832028,115.90549008944214,117.45413970947266,98844700,0.0,0.0
2021-03-26 00:00:00-04:00,117.22036189731419,118.32098161470867,115.82754797615723,118.05799865722656,94071200,0.0,0.0
2021-03-29 00:00:00-04:00,118.4865630734955,119.39237925463331,117.59048892877756,118.23332214355469,80819200,0.0,0.0
2021-03-30 00:00:00-04:00,116.98658158794636,117.2690411299705,115.76908740559824,116.78204345703125,85671900,0.0,0.0
2021-03-31 00:00:00-04:00,118.48652835662627,120.30789479066001,117.99953071227597,118.97352600097656,118323800,0.0,0.0
2021-04-01 00:00:00-04:00,120.44428559619276,120.95075998024407,119.30470522783453,119.80144500732422,75089100,0.0,0.0
