Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_10,MA_20,RSI,Daily_Return,Log_Return,Rolling_Volatility,Momentum,lag_1,lag_2,lag_3,lag_4,lag_5
2025-04-08 00:00:00-04:00,185.88983084847527,189.51403482217904,168.47573669018362,171.6717987060547,120859500,0.0,0.0,206.89228057861328,210.92420501708983,22.80924010137197,-0.04981809555074146,-0.051101834349552816,0.031542300093394995,-51.10722351074219,180.6725616455078,187.56253051757812,202.30825805664062,222.91842651367188,222.22145080566406
2025-04-09 00:00:00-04:00,171.20381523449285,199.7394480269994,171.14407803694525,197.98709106445312,184395900,0.0,0.0,204.63412170410157,210.021639251709,42.670379623462814,0.15328838258086197,0.142617325001121,0.04848772006488321,-22.581588745117188,171.6717987060547,180.6725616455078,187.56253051757812,202.30825805664062,222.91842651367188
2025-04-10 00:00:00-04:00,188.24954112448538,193.93475416517637,182.20587449762067,189.5936737060547,121880000,0.0,0.0,201.30562744140624,209.0628189086914,37.1409967489809,-0.042393760690519144,-0.043318609189966585,0.04881458020265973,-33.284942626953125,197.98709106445312,171.6717987060547,180.6725616455078,187.56253051757812,202.30825805664062
2025-04-11 00:00:00-04:00,185.29243322025624,198.67409816298056,185.25259829067514,197.29013061523438,87435900,0.0,0.0,199.33919830322264,208.29914779663085,40.05811630251084,0.04059448165508006,0.039792166818567336,0.049594818768934935,-19.664291381835938,189.5936737060547,197.98709106445312,171.6717987060547,180.6725616455078,187.56253051757812
2025-04-14 00:00:00-04:00,210.52244846919626,212.01593914767514,200.28706023476008,201.6411590576172,101352900,0.0,0.0,197.38670806884767,207.7276382446289,40.76233595921291,0.022053958952809483,0.021814287797572524,0.04989268933587915,-19.52490234375,197.29013061523438,189.5936737060547,197.98709106445312,171.6717987060547,180.6725616455078
2025-04-15 00:00:00-04:00,200.98403365195668,202.62686743682656,198.93297540670014,201.2628173828125,51343900,0.0,0.0,195.2908447265625,207.20242767333986,41.42566065017376,-0.0018763117439558608,-0.001878074221819785,0.049881483454154725,-20.958633422851562,201.6411590576172,197.29013061523438,189.5936737060547,197.98709106445312,171.6717987060547
2025-04-16 00:00:00-04:00,197.49920369317184,199.8290454554037,191.53519224238798,193.4269561767578,59732400,0.0,0.0,192.3416976928711,206.15847702026366,37.53160147924896,-0.03893347667468283,-0.03971164938442461,0.050458871273648946,-29.491470336914062,201.2628173828125,201.6411590576172,197.29013061523438,189.5936737060547,197.98709106445312
2025-04-17 00:00:00-04:00,196.34426016251078,197.96719174329118,193.5763250102755,196.12521362304688,52164700,0.0,0.0,191.72339324951173,205.30619201660156,40.93430644136613,0.013949748781774352,0.013853346526558471,0.05061486157352539,-6.18304443359375,193.4269561767578,201.2628173828125,201.6411590576172,197.29013061523438,189.5936737060547
2025-04-21 00:00:00-04:00,192.43130060162235,192.958999427942,188.98630873883343,192.32177734375,46742500,0.0,0.0,192.1993179321289,204.0561393737793,37.401061080299236,-0.019392898082992494,-0.019583407371275747,0.05045339950605385,4.759246826171875,196.12521362304688,193.4269561767578,201.2628173828125,201.6411590576172,197.29013061523438
2025-04-22 00:00:00-04:00,195.26892870764283,200.7151927551101,195.11958571249494,198.87322998046875,52976400,0.0,0.0,194.019384765625,203.01119384765624,40.26891059424202,0.0340650587115201,0.03349769355710467,0.05109176731232661,18.200668334960938,192.32177734375,196.12521362304688,193.4269561767578,201.2628173828125,201.6411590576172
2025-04-23 00:00:00-04:00,205.1060461943045,207.0973670311424,201.9199358938783,203.71212768554688,52929200,0.0,0.0,197.22341766357422,202.05784912109374,42.26233068407984,0.02433156893742483,0.024040271996578873,0.051338220496865546,32.04032897949219,198.87322998046875,192.32177734375,196.12521362304688,193.4269561767578,201.2628173828125
2025-04-24 00:00:00-04:00,204.00086522918792,207.92376976062596,202.05933042602183,207.46575927734375,47311000,0.0,0.0,198.1712844848633,201.40270309448243,52.40437268865037,0.018426156726373488,0.018258452069457937,0.051535157004356916,9.478668212890625,203.71212768554688,198.87322998046875,192.32177734375,196.12521362304688,193.4269561767578
